90.0094	29.5319	30.2067	29.9383	4.81204	4.83973	4.84002	0.987271	0.988088	0.987765
180.008	19.02	20.5951	19.9688	8.09945	8.56418	8.41784	0.19655	0.0789983	0.114685
270.001	22.7593	22.6509	22.694	0.635348	0.345361	0.484952	0.792917	0.919454	0.826627
360.006	22.7894	22.7294	22.7533	1.27834	0.29309	0.838108	0.797692	0.927854	0.822569
450.045	21.4947	23.5512	22.7334	4.78925	0.191928	3.18684	0.674305	0.939209	0.811588
540.023	18.6253	23.8505	21.7727	6.81715	0.119961	5.00285	0.798032	0.960668	0.83019
630.002	19.7994	23.9439	22.2958	4.67716	0.0860643	3.58016	0.938028	0.971165	0.920373
720.005	19.4667	23.9733	22.1813	4.66498	0.0792011	3.67721	0.960754	0.97186	0.930176
810.04	16.7775	23.993	21.1238	7.2882	0.0616606	5.7961	0.846278	0.97186	0.762031
900.104	16.668	24.003	21.0863	7.29327	0.0371153	5.83432	0.863671	0.971276	0.760631
990.003	19.2699	23.9983	22.1181	4.70683	0.0253901	3.76365	0.976175	0.97075	0.93772
1080.02	25.0465	24.7581	24.8728	0.271048	0.222368	0.280933	0.986809	0.971731	0.949823
1170.1	23.5874	23.6131	23.6028	0.112471	0.261163	0.21511	0.970468	0.942644	0.95346
1260.07	23.5202	23.5161	23.5177	0.169659	0.339595	0.284458	0.953741	0.942426	0.94687
1350.09	23.4862	23.5079	23.4993	0.123282	0.148703	0.139556	0.945974	0.947094	0.946557
1440.15	23.4772	23.4867	23.4829	0.108893	0.0957208	0.101271	0.936897	0.942138	0.939865
1530.03	23.4549	23.4528	23.4536	0.0768131	0.0968827	0.089449	0.928668	0.935981	0.932864
1620.06	23.4236	23.3988	23.4087	0.172095	0.430591	0.351576	0.917793	0.926277	0.922601
1710.01	23.4346	23.4234	23.4278	0.155433	0.170642	0.164854	0.912518	0.933608	0.925012
1800.08	23.4163	23.4085	23.4116	0.197089	0.178424	0.186109	0.912166	0.930939	0.923029
1890.31	23.3691	23.4038	23.39	0.422344	0.284495	0.34637	0.903341	0.931927	0.92021
1980.13	23.4489	23.4124	23.427	0.148397	0.387336	0.315351	0.92152	0.927792	0.924984
24	0	0	0	0	0	0	nan	nan	nan
96	0	0	0	0	0	0	nan	nan	nan
168	0	0	0	0	0	0	nan	nan	nan
240	0	0	0	0	0	0	nan	nan	nan
312	0	0	0	0	0	0	nan	nan	nan
384	0	0	0	0	0	0	nan	nan	nan
456	0	0	0	0	0	0	nan	nan	nan
528	0	0	0	0	0	0	nan	nan	nan
600	0	0	0	0	0	0	nan	nan	nan
672	0	0	0	0	0	0	nan	nan	nan
744	0	0	0	0	0	0	nan	nan	nan
816	0	0	0	0	0	0	nan	nan	nan
888	0	0	0	0	0	0	nan	nan	nan
960	0	0	0	0	0	0	nan	nan	nan
1032	0	0	0	0	0	0	nan	nan	nan
1104	0	0	0	0	0	0	nan	nan	nan
1176	0	0	0	0	0	0	nan	nan	nan
1248	0	0	0	0	0	0	nan	nan	nan
1320	0	0	0	0	0	0	nan	nan	nan
1392	0	0	0	0	0	0	nan	nan	nan
1464	0	0	0	0	0	0	nan	nan	nan
1536	0	0	0	0	0	0	nan	nan	nan
1608	0	0	0	0	0	0	nan	nan	nan
1680	0	0	0	0	0	0	nan	nan	nan
1752	0	0	0	0	0	0	nan	nan	nan
1824	0	0	0	0	0	0	nan	nan	nan
1896	0	0	0	0	0	0	nan	nan	nan
1968	0	0	0	0	0	0	nan	nan	nan
2040	0	0	0	0	0	0	nan	nan	nan
24	23.6997	0	0	0	0	0	0.424676	nan	nan
96	18.6253	0	0	0	0	0	0.69154	nan	nan
168	20.8072	0	0	0	0	0	1.42848	nan	nan
240	23.482	0	0	0	0	0	2.31468	nan	nan
312	23.4189	0	0	0	0	0	3.23484	nan	nan
384	23.4162	0	0	0	0	0	4.14535	nan	nan
456	23.3029	0	0	0	0	0	5.05556	nan	nan
528	23.2108	0	0	0	0	0	5.96772	nan	nan
600	23.2452	0	0	0	0	0	6.86759	nan	nan
672	23.1517	0	0	0	0	0	7.78373	nan	nan
744	23.296	0	0	0	0	0	8.70172	nan	nan
816	23.0714	0	0	0	0	0	9.59906	nan	nan
888	23.2463	0	0	0	0	0	10.5043	nan	nan
960	23.2783	0	0	0	0	0	11.3464	nan	nan
1032	-329.068	0	0	0	0	0	12.3464	nan	nan
1104	0	0	0	0	0	0	nan	nan	nan
1176	0	0	0	0	0	0	nan	nan	nan
1248	0	0	0	0	0	0	nan	nan	nan
1320	0	0	0	0	0	0	nan	nan	nan
1392	0	0	0	0	0	0	nan	nan	nan
1464	0	0	0	0	0	0	nan	nan	nan
1536	0	0	0	0	0	0	nan	nan	nan
1608	0	0	0	0	0	0	nan	nan	nan
1680	0	0	0	0	0	0	nan	nan	nan
1752	0	0	0	0	0	0	nan	nan	nan
1824	0	0	0	0	0	0	nan	nan	nan
1896	0	0	0	0	0	0	nan	nan	nan
1968	0	0	0	0	0	0	nan	nan	nan
2040	0	0	0	0	0	0	nan	nan	nan
